question,option1,option2,option3,option4,correct_answer
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
What is 1/2 + 1/4?, 3/4, 1/2, 1/4, 1, 3/4
What is 3/5 - 1/5?, 1/5, 2/5, 3/5, 4/5, 2/5
What is 2/3 ÷ 1/3?, 3, 2, 4, 1, 2
What is 1/3 x 1/6?, 1/2, 1/18, 1/8, 1/12, 1/18
What is 5/8 - 1/4?, 3/8, 1/2, 7/8, 5/4, 3/8
What is 7/10 + 2/5?, 1, 9/10, 11/10, 7/5, 9/10
What is 4/9 ÷ 2/3?, 2/3, 4/6, 6/9, 2/9, 2/3
What is 3/4 x 1/2?, 1/2, 3/8, 3/4, 1/4, 3/8
What is 5/6 - 1/3?, 1/2, 2/3, 1/6, 3/6, 1/2
What is 1/4 + 3/8?, 5/8, 6/8, 1/2, 7/8, 5/8
